"lemma","text.content","text.beginOffset","partOfSpeech.tag","dependencyEdge.headTokenIndex","dependencyEdge.label","text_id"
"Good","Good",-1,"ADJ",1,"AMOD",1
"evening","evening",-1,"NOUN",1,"ROOT",1
"from","from",-1,"ADP",1,"PREP",1
"Hofstra","Hofstra",-1,"NOUN",4,"NN",1
"University","University",-1,"NOUN",2,"POBJ",1
"in","in",-1,"ADP",4,"PREP",1
"Hempstead","Hempstead",-1,"NOUN",5,"POBJ",1
",",",",-1,"PUNCT",6,"P",1
"New","New",-1,"NOUN",9,"NN",1
"York","York",-1,"NOUN",6,"APPOS",1
".",".",-1,"PUNCT",1,"P",1
"I","I",-1,"PRON",12,"NSUBJ",1
"be","'m",-1,"VERB",12,"ROOT",1
"Lester","Lester",-1,"NOUN",14,"NN",1
"Holt","Holt",-1,"NOUN",12,"ATTR",1
",",",",-1,"PUNCT",14,"P",1
"anchor","anchor",-1,"NOUN",14,"APPOS",1
"of","of",-1,"ADP",16,"PREP",1
"""","""",-1,"PUNCT",17,"P",1
"NBC","NBC",-1,"NOUN",21,"NN",1
"Nightly","Nightly",-1,"NOUN",21,"NN",1
"News","News",-1,"NOUN",17,"POBJ",1
".",".",-1,"PUNCT",12,"P",1
"""","""",-1,"PUNCT",12,"P",1
"I","I",-1,"PRON",25,"NSUBJ",1
"want","want",-1,"VERB",25,"ROOT",1
"to","to",-1,"PRT",27,"AUX",1
"welcome","welcome",-1,"VERB",25,"XCOMP",1
"you","you",-1,"PRON",27,"DOBJ",1
"to","to",-1,"ADP",27,"PREP",1
"the","the",-1,"DET",33,"DET",1
"first","first",-1,"ADJ",33,"AMOD",1
"presidential","presidential",-1,"ADJ",33,"AMOD",1
"debate","debate",-1,"NOUN",29,"POBJ",1
".",".",-1,"PUNCT",25,"P",1
"The","The",-1,"DET",1,"DET",2
"participant","participants",-1,"NOUN",3,"NSUBJ",2
"tonight","tonight",-1,"NOUN",1,"TMOD",2
"be","are",-1,"VERB",3,"ROOT",2
"Donald","Donald",-1,"NOUN",5,"NN",2
"Trump","Trump",-1,"NOUN",3,"ATTR",2
"and","and",-1,"CONJ",5,"CC",2
"Hillary","Hillary",-1,"NOUN",8,"NN",2
"Clinton","Clinton",-1,"NOUN",5,"CONJ",2
".",".",-1,"PUNCT",3,"P",2
"This","This",-1,"DET",11,"DET",2
"debate","debate",-1,"NOUN",13,"NSUBJPASS",2
"be","is",-1,"VERB",13,"AUXPASS",2
